Hand,E
3D 3S 4S,12.2500
3D 4C 4D,12.2500
3D 4D 4H,12.2500
3D 4D 4S,12.2500
3H 3S 4H,12.2500
3H 3S 4S,12.2500
3H 4C 4H,12.2500
3H 4D 4H,12.2500
3H 4H 4S,12.2500
3S 4C 4S,12.2500
3S 4D 4S,12.2500
3S 4H 4S,12.2500
4C 4D 5C,12.2500
4C 4D 5D,12.2500
4C 4H 5C,12.2500
4C 4H 5H,12.2500
4C 4S 5C,12.2500
4C 4S 5S,12.2500
4C 5C 5D,12.2500
4C 5C 5H,12.2500
4C 5C 5S,12.2500
4D 4H 5D,12.2500
4D 4H 5H,12.2500
4D 4S 5D,12.2500
4D 4S 5S,12.2500
4D 5C 5D,12.2500
4D 5D 5H,12.2500
4D 5D 5S,12.2500
4H 4S 5H,12.2500
4H 4S 5S,12.2500
4H 5C 5H,12.2500
4H 5D 5H,12.2500
4H 5H 5S,12.2500
4S 5C 5S,12.2500
4S 5D 5S,12.2500
4S 5H 5S,12.2500
5C 5D 6C,12.2500
5C 5D 6D,12.2500
5C 5H 6C,12.2500
5C 5H 6H,12.2500
5C 5S 6C,12.2500
5C 5S 6S,12.2500
5C 6C 6D,12.2500
5C 6C 6H,12.2500
5C 6C 6S,12.2500
5D 5H 6D,12.2500
5D 5H 6H,12.2500
5D 5S 6D,12.2500
5D 5S 6S,12.2500
5D 6C 6D,12.2500
5D 6D 6H,12.2500
5D 6D 6S,12.2500
5H 5S 6H,12.2500
5H 5S 6S,12.2500
5H 6C 6H,12.2500
5H 6D 6H,12.2500
5H 6H 6S,12.2500
5S 6C 6S,12.2500
5S 6D 6S,12.2500
5S 6H 6S,12.2500
6C 6D 7C,12.2500
6C 6D 7D,12.2500
6C 6H 7C,12.2500
6C 6H 7H,12.2500
6C 6S 7C,12.2500
6C 6S 7S,12.2500
6C 7C 7D,12.2500
6C 7C 7H,12.2500
6C 7C 7S,12.2500
6D 6H 7D,12.2500
6D 6H 7H,12.2500
6D 6S 7D,12.2500
6D 6S 7S,12.2500
6D 7C 7D,12.2500
6D 7D 7H,12.2500
6D 7D 7S,12.2500
6H 6S 7H,12.2500
6H 6S 7S,12.2500
6H 7C 7H,12.2500
6H 7D 7H,12.2500
6H 7H 7S,12.2500
6S 7C 7S,12.2500
6S 7D 7S,12.2500
6S 7H 7S,12.2500
7C 7D 8C,12.2500
7C 7D 8D,12.2500
7C 7H 8C,12.2500
7C 7H 8H,12.2500
7C 7S 8C,12.2500
7C 7S 8S,12.2500
7C 8C 8D,12.2500
7C 8C 8H,12.2500
7C 8C 8S,12.2500
7D 7H 8D,12.2500
7D 7H 8H,12.2500
7D 7S 8D,12.2500
7D 7S 8S,12.2500
7D 8C 8D,12.2500
7D 8D 8H,12.2500
7D 8D 8S,12.2500
7H 7S 8H,12.2500
7H 7S 8S,12.2500
7H 8C 8H,12.2500
7H 8D 8H,12.2500
7H 8H 8S,12.2500
7S 8C 8S,12.2500
7S 8D 8S,12.2500
7S 8H 8S,12.2500
8C 8D 9C,12.2500
8C 8D 9D,12.2500
8C 8H 9C,12.2500
8C 8H 9H,12.2500
8C 8S 9C,12.2500
8C 8S 9S,12.2500
8C 9C 9D,12.2500
8C 9C 9H,12.2500
8C 9C 9S,12.2500
8D 8H 9D,12.2500
8D 8H 9H,12.2500
8D 8S 9D,12.2500
8D 8S 9S,12.2500
8D 9C 9D,12.2500
8D 9D 9H,12.2500
8D 9D 9S,12.2500
8H 8S 9H,12.2500
8H 8S 9S,12.2500
8H 9C 9H,12.2500
8H 9D 9H,12.2500
8H 9H 9S,12.2500
8S 9C 9S,12.2500
8S 9D 9S,12.2500
8S 9H 9S,12.2500
9C 9D TC,12.2500
9C 9D TD,12.2500
9C 9H TC,12.2500
9C 9H TH,12.2500
9C 9S TC,12.2500
9C 9S TS,12.2500
9C TC TD,12.2500
9C TC TH,12.2500
9C TC TS,12.2500
9D 9H TD,12.2500
9D 9H TH,12.2500
9D 9S TD,12.2500
9D 9S TS,12.2500
9D TC TD,12.2500
9D TD TH,12.2500
9D TD TS,12.2500
9H 9S TH,12.2500
9H 9S TS,12.2500
9H TC TH,12.2500
9H TD TH,12.2500
9H TH TS,12.2500
9S TC TS,12.2500
9S TD TS,12.2500
9S TH TS,12.2500
TC TD JC,12.2500
TC TD JD,12.2500
TC TH JC,12.2500
TC TH JH,12.2500
TC TS JC,12.2500
TC TS JS,12.2500
TC JC JD,12.2500
TC JC JH,12.2500
TC JC JS,12.2500
TD TH JD,12.2500
TD TH JH,12.2500
TD TS JD,12.2500
TD TS JS,12.2500
TD JC JD,12.2500
TD JD JH,12.2500
TD JD JS,12.2500
TH TS JH,12.2500
TH TS JS,12.2500
TH JC JH,12.2500
TH JD JH,12.2500
TH JH JS,12.2500
TS JC JS,12.2500
TS JD JS,12.2500
TS JH JS,12.2500
JC JD QC,12.2500
JC JD QD,12.2500
JC JH QC,12.2500
JC JH QH,12.2500
JC JS QC,12.2500
JC JS QS,12.2500
JC QC QD,12.2500
JC QC QH,12.2500
JC QC QS,12.2500
JD JH QD,12.2500
JD JH QH,12.2500
JD JS QD,12.2500
JD JS QS,12.2500
JD QC QD,12.2500
JD QD QH,12.2500
JD QD QS,12.2500
JH JS QH,12.2500
JH JS QS,12.2500
JH QC QH,12.2500
JH QD QH,12.2500
JH QH QS,12.2500
JS QC QS,12.2500
JS QD QS,12.2500
JS QH QS,12.2500
AC 3C 3D,14.291666667
AC 3C 3H,14.2917
AC 3C 3S,14.2917
AD 3C 3D,14.2917
AD 3D 3H,14.2917
AD 3D 3S,14.2917
AH 3C 3H,14.2917
AH 3D 3H,14.2917
AH 3H 3S,14.2917
AS 3C 3S,14.2917
AS 3D 3S,14.2917
AS 3H 3S,14.2917
2C 4C 4D,14.2917
2C 4C 4H,14.2917
2C 4C 4S,14.2917
2D 4C 4D,14.2917
2D 4D 4H,14.2917
2D 4D 4S,14.2917
2H 4C 4H,14.2917
2H 4D 4H,14.2917
2H 4H 4S,14.2917
2S 4C 4S,14.2917
2S 4D 4S,14.2917
2S 4H 4S,14.2917
3C 3D 5C,14.2917
3C 3D 5D,14.2917
3C 3H 5C,14.2917
3C 3H 5H,14.2917
3C 3S 5C,14.2917
3C 3S 5S,14.2917
3C 5C 5D,14.2917
3C 5C 5H,14.2917
3C 5C 5S,14.2917
3D 3H 5D,14.2917
3D 3H 5H,14.2917
3D 3S 5D,14.2917
3D 3S 5S,14.2917
3D 5C 5D,14.2917
3D 5D 5H,14.2917
3D 5D 5S,14.2917
3H 3S 5H,14.2917
3H 3S 5S,14.2917
3H 5C 5H,14.2917
3H 5D 5H,14.2917
3H 5H 5S,14.2917
3S 5C 5S,14.2917
3S 5D 5S,14.2917
3S 5H 5S,14.2917
4C 4D 6C,14.2917
4C 4D 6D,14.2917
4C 4H 6C,14.2917
4C 4H 6H,14.2917
4C 4S 6C,14.2917
4C 4S 6S,14.2917
4C 6C 6D,14.2917
4C 6C 6H,14.2917
4C 6C 6S,14.2917
4D 4H 6D,14.2917
4D 4H 6H,14.2917
4D 4S 6D,14.2917
4D 4S 6S,14.2917
4D 6C 6D,14.2917
4D 6D 6H,14.2917
4D 6D 6S,14.2917
4H 4S 6H,14.2917
4H 4S 6S,14.2917
4H 6C 6H,14.2917
4H 6D 6H,14.2917
4H 6H 6S,14.2917
4S 6C 6S,14.2917
4S 6D 6S,14.2917
4S 6H 6S,14.2917
5C 5D 7C,14.2917
5C 5D 7D,14.2917
5C 5H 7C,14.2917
5C 5H 7H,14.2917
5C 5S 7C,14.2917
5C 5S 7S,14.2917
5C 7C 7D,14.2917
5C 7C 7H,14.2917
5C 7C 7S,14.2917
5D 5H 7D,14.2917
5D 5H 7H,14.2917
5D 5S 7D,14.2917
5D 5S 7S,14.2917
5D 7C 7D,14.2917
5D 7D 7H,14.2917
5D 7D 7S,14.2917
5H 5S 7H,14.2917
5H 5S 7S,14.2917
5H 7C 7H,14.2917
5H 7D 7H,14.2917
5H 7H 7S,14.2917
5S 7C 7S,14.2917
5S 7D 7S,14.2917
5S 7H 7S,14.2917
6C 6D 8C,14.2917
6C 6D 8D,14.2917
6C 6H 8C,14.2917
6C 6H 8H,14.2917
6C 6S 8C,14.2917
6C 6S 8S,14.2917
6C 8C 8D,14.2917
6C 8C 8H,14.2917
6C 8C 8S,14.2917
6D 6H 8D,14.2917
6D 6H 8H,14.2917
6D 6S 8D,14.2917
6D 6S 8S,14.2917
6D 8C 8D,14.2917
6D 8D 8H,14.2917
6D 8D 8S,14.2917
6H 6S 8H,14.2917
6H 6S 8S,14.2917
6H 8C 8H,14.2917
6H 8D 8H,14.2917
6H 8H 8S,14.2917
6S 8C 8S,14.2917
6S 8D 8S,14.2917
6S 8H 8S,14.2917
7C 7D 9C,14.2917
7C 7D 9D,14.2917
7C 7H 9C,14.2917
7C 7H 9H,14.2917
7C 7S 9C,14.2917
7C 7S 9S,14.2917
7C 9C 9D,14.2917
7C 9C 9H,14.2917
7C 9C 9S,14.2917
7D 7H 9D,14.2917
7D 7H 9H,14.2917
7D 7S 9D,14.2917
7D 7S 9S,14.2917
7D 9C 9D,14.2917
7D 9D 9H,14.2917
7D 9D 9S,14.2917
7H 7S 9H,14.2917
7H 7S 9S,14.2917
7H 9C 9H,14.2917
7H 9D 9H,14.2917
7H 9H 9S,14.2917
7S 9C 9S,14.2917
7S 9D 9S,14.2917
7S 9H 9S,14.2917
8C 8D TC,14.2917
8C 8D TD,14.2917
8C 8H TC,14.2917
8C 8H TH,14.2917
8C 8S TC,14.2917
8C 8S TS,14.2917
8C TC TD,14.2917
8C TC TH,14.2917
8C TC TS,14.2917
8D 8H TD,14.2917
8D 8H TH,14.2917
8D 8S TD,14.2917
8D 8S TS,14.2917
8D TC TD,14.2917
8D TD TH,14.2917
8D TD TS,14.2917
8H 8S TH,14.2917
8H 8S TS,14.2917
8H TC TH,14.2917
8H TD TH,14.2917
8H TH TS,14.2917
8S TC TS,14.2917
8S TD TS,14.2917
8S TH TS,14.2917
9C 9D JC,14.2917
9C 9D JD,14.2917
9C 9H JC,14.2917
9C 9H JH,14.2917
9C 9S JC,14.2917
9C 9S JS,14.2917
9C JC JD,14.2917
9C JC JH,14.2917
9C JC JS,14.2917
9D 9H JD,14.2917
9D 9H JH,14.2917
9D 9S JD,14.2917
9D 9S JS,14.2917
9D JC JD,14.2917
9D JD JH,14.2917
9D JD JS,14.2917
9H 9S JH,14.2917
9H 9S JS,14.2917
9H JC JH,14.2917
9H JD JH,14.2917
9H JH JS,14.2917
9S JC JS,14.2917
9S JD JS,14.2917
9S JH JS,14.2917
TC TD QC,14.2917
TC TD QD,14.2917
TC TH QC,14.2917
TC TH QH,14.2917
TC TS QC,14.2917
TC TS QS,14.2917
TD TH QD,14.2917
TD TH QH,14.2917
TD TS QD,14.2917
TD TS QS,14.2917
TH TS QH,14.2917
TH TS QS,14.2917
JC JD KC,14.2917
JC JD KD,14.2917
JC JH KC,14.2917
JC JH KH,14.2917
JC JS KC,14.2917
JC JS KS,14.2917
JD JH KD,14.2917
JD JH KH,14.2917
JD JS KD,14.2917
JD JS KS,14.2917
JH JS KH,14.2917
JH JS KS,14.2917
AC AD 3C,15.312500000
AC AD 3D,15.3125
AC AH 3C,15.3125
AC AH 3H,15.3125
AC AS 3C,15.3125
AC AS 3S,15.3125
AC 2C 2D,15.3125
AC 2C 2H,15.3125
AC 2C 2S,15.3125
AC 2D 3D,15.3125
AC 2H 3H,15.3125
AC 2S 3S,15.3125
AC 3C 4C,15.3125
AC 3D 3H,15.5167
AC 3D 3S,15.5167
AC 3D 4D,15.3125
AC 3H 3S,15.5167
AC 3H 4H,15.3125
AC 3S 4S,15.3125
AC 4C 4D,15.5167
AC 4C 4H,15.5167
AC 4C 4S,15.5167
AC 4C 5C,15.3125
AC 4D 4H,15.5167
AC 4D 4S,15.5167
AC 4D 5D,15.3125
AC 4H 4S,15.5167
AC 4H 5H,15.3125
AC 4S 5S,15.3125
AC 5C 5D,15.5167
AC 5C 5H,15.5167
AC 5C 5S,15.5167
AC 5C 6C,15.3125
AC 5D 5H,15.5167
AC 5D 5S,15.5167
AC 5D 6D,15.3125
AC 5H 5S,15.5167
AC 5H 6H,15.3125
AC 5S 6S,15.3125
AC 6C 6D,15.5167
AC 6C 6H,15.5167
AC 6C 6S,15.5167
AC 6C 7C,15.3125
AC 6D 6H,15.5167
AC 6D 6S,15.5167
AC 6D 7D,15.3125
AC 6H 6S,15.5167
AC 6H 7H,15.3125
AC 6S 7S,15.3125
AC 7C 7D,15.5167
AC 7C 7H,15.5167
AC 7C 7S,15.5167
AC 7C 8C,15.3125
AC 7D 7H,15.5167
AC 7D 7S,15.5167
AC 7D 8D,15.3125
AC 7H 7S,15.5167
AC 7H 8H,15.3125
AC 7S 8S,15.3125
AC 8C 8D,15.5167
AC 8C 8H,15.5167
AC 8C 8S,15.5167
AC 8C 9C,15.3125
AC 8D 8H,15.5167
AC 8D 8S,15.5167
AC 8D 9D,15.3125
AC 8H 8S,15.5167
AC 8H 9H,15.3125
AC 8S 9S,15.3125
AC 9C 9D,15.5167
AC 9C 9H,15.5167
AC 9C 9S,15.5167
AC 9C TC,15.3125
AC 9D 9H,15.5167
AC 9D 9S,15.5167
AC 9D TD,15.3125
AC 9H 9S,15.5167
AC 9H TH,15.3125
AC 9S TS,15.3125
AC TC TD,15.5167
AC TC TH,15.5167
AC TC TS,15.5167
AC TC JC,15.3125
AC TD TH,15.5167
AC TD TS,15.5167
AC TD JD,15.3125
AC TH TS,15.5167
AC TH JH,15.3125
AC TS JS,15.3125
AC JC JD,15.5167
AC JC JH,15.5167
AC JC JS,15.5167
AC JC QC,15.3125
AC JD JH,15.5167
AC JD JS,15.5167
AC JD QD,15.3125
AC JH JS,15.5167
AC JH QH,15.3125
AC JS QS,15.3125
AD AH 3D,15.3125
AD AH 3H,15.3125
AD AS 3D,15.3125
AD AS 3S,15.3125
AD 2C 2D,15.3125
AD 2C 3C,15.3125
AD 2D 2H,15.3125
AD 2D 2S,15.3125
AD 2H 3H,15.3125
AD 2S 3S,15.3125
AD 3C 3H,15.5167
AD 3C 3S,15.5167
AD 3C 4C,15.3125
AD 3D 4D,15.3125
AD 3H 3S,15.5167
AD 3H 4H,15.3125
AD 3S 4S,15.3125
AD 4C 4D,15.5167
AD 4C 4H,15.5167
AD 4C 4S,15.5167
AD 4C 5C,15.3125
AD 4D 4H,15.5167
AD 4D 4S,15.5167
AD 4D 5D,15.3125
AD 4H 4S,15.5167
AD 4H 5H,15.3125
AD 4S 5S,15.3125
AD 5C 5D,15.5167
AD 5C 5H,15.5167
AD 5C 5S,15.5167
AD 5C 6C,15.3125
AD 5D 5H,15.5167
AD 5D 5S,15.5167
AD 5D 6D,15.3125
AD 5H 5S,15.5167
AD 5H 6H,15.3125
AD 5S 6S,15.3125
AD 6C 6D,15.5167
AD 6C 6H,15.5167
AD 6C 6S,15.5167
AD 6C 7C,15.3125
AD 6D 6H,15.5167
AD 6D 6S,15.5167
AD 6D 7D,15.3125
AD 6H 6S,15.5167
AD 6H 7H,15.3125
AD 6S 7S,15.3125
AD 7C 7D,15.5167
AD 7C 7H,15.5167
AD 7C 7S,15.5167
AD 7C 8C,15.3125
AD 7D 7H,15.5167
AD 7D 7S,15.5167
AD 7D 8D,15.3125
AD 7H 7S,15.5167
AD 7H 8H,15.3125
AD 7S 8S,15.3125
AD 8C 8D,15.5167
AD 8C 8H,15.5167
AD 8C 8S,15.5167
AD 8C 9C,15.3125
AD 8D 8H,15.5167
AD 8D 8S,15.5167
AD 8D 9D,15.3125
AD 8H 8S,15.5167
AD 8H 9H,15.3125
AD 8S 9S,15.3125
AD 9C 9D,15.5167
AD 9C 9H,15.5167
AD 9C 9S,15.5167
AD 9C TC,15.3125
AD 9D 9H,15.5167
AD 9D 9S,15.5167
AD 9D TD,15.3125
AD 9H 9S,15.5167
AD 9H TH,15.3125
AD 9S TS,15.3125
AD TC TD,15.5167
AD TC TH,15.5167
AD TC TS,15.5167
AD TC JC,15.3125
AD TD TH,15.5167
AD TD TS,15.5167
AD TD JD,15.3125
AD TH TS,15.5167
AD TH JH,15.3125
AD TS JS,15.3125
AD JC JD,15.5167
AD JC JH,15.5167
AD JC JS,15.5167
AD JC QC,15.3125
AD JD JH,15.5167
AD JD JS,15.5167
AD JD QD,15.3125
AD JH JS,15.5167
AD JH QH,15.3125
AD JS QS,15.3125
AH AS 3H,15.3125
AH AS 3S,15.3125
AH 2C 2H,15.3125
AH 2C 3C,15.3125
AH 2D 2H,15.3125
AH 2D 3D,15.3125
AH 2H 2S,15.3125
AH 2S 3S,15.3125
AH 3C 3D,15.5167
AH 3C 3S,15.5167
AH 3C 4C,15.3125
AH 3D 3S,15.5167
AH 3D 4D,15.3125
AH 3H 4H,15.3125
AH 3S 4S,15.3125
AH 4C 4D,15.5167
AH 4C 4H,15.5167
AH 4C 4S,15.5167
AH 4C 5C,15.3125
AH 4D 4H,15.5167
AH 4D 4S,15.5167
AH 4D 5D,15.3125
AH 4H 4S,15.5167
AH 4H 5H,15.3125
AH 4S 5S,15.3125
AH 5C 5D,15.5167
AH 5C 5H,15.5167
AH 5C 5S,15.5167
AH 5C 6C,15.3125
AH 5D 5H,15.5167
AH 5D 5S,15.5167
AH 5D 6D,15.3125
AH 5H 5S,15.5167
AH 5H 6H,15.3125
AH 5S 6S,15.3125
AH 6C 6D,15.5167
AH 6C 6H,15.5167
AH 6C 6S,15.5167
AH 6C 7C,15.3125
AH 6D 6H,15.5167
AH 6D 6S,15.5167
AH 6D 7D,15.3125
AH 6H 6S,15.5167
AH 6H 7H,15.3125
AH 6S 7S,15.3125
AH 7C 7D,15.5167
AH 7C 7H,15.5167
AH 7C 7S,15.5167
AH 7C 8C,15.3125
AH 7D 7H,15.5167
AH 7D 7S,15.5167
AH 7D 8D,15.3125
AH 7H 7S,15.5167
AH 7H 8H,15.3125
AH 7S 8S,15.3125
AH 8C 8D,15.5167
AH 8C 8H,15.5167
AH 8C 8S,15.5167
AH 8C 9C,15.3125
AH 8D 8H,15.5167
AH 8D 8S,15.5167
AH 8D 9D,15.3125
AH 8H 8S,15.5167
AH 8H 9H,15.3125
AH 8S 9S,15.3125
AH 9C 9D,15.5167
AH 9C 9H,15.5167
AH 9C 9S,15.5167
AH 9C TC,15.3125
AH 9D 9H,15.5167
AH 9D 9S,15.5167
AH 9D TD,15.3125
AH 9H 9S,15.5167
AH 9H TH,15.3125
AH 9S TS,15.3125
AH TC TD,15.5167
AH TC TH,15.5167
AH TC TS,15.5167
AH TC JC,15.3125
AH TD TH,15.5167
AH TD TS,15.5167
AH TD JD,15.3125
AH TH TS,15.5167
AH TH JH,15.3125
AH TS JS,15.3125
AH JC JD,15.5167
AH JC JH,15.5167
AH JC JS,15.5167
AH JC QC,15.3125
AH JD JH,15.5167
AH JD JS,15.5167
AH JD QD,15.3125
AH JH JS,15.5167
AH JH QH,15.3125
AH JS QS,15.3125
AS 2C 2S,15.3125
AS 2C 3C,15.3125
AS 2D 2S,15.3125
AS 2D 3D,15.3125
AS 2H 2S,15.3125
AS 2H 3H,15.3125
AS 3C 3D,15.5167
AS 3C 3H,15.5167
AS 3C 4C,15.3125
AS 3D 3H,15.5167
AS 3D 4D,15.3125
AS 3H 4H,15.3125
AS 3S 4S,15.3125
AS 4C 4D,15.5167
AS 4C 4H,15.5167
AS 4C 4S,15.5167
AS 4C 5C,15.3125
AS 4D 4H,15.5167
AS 4D 4S,15.5167
AS 4D 5D,15.3125
AS 4H 4S,15.5167
AS 4H 5H,15.3125
AS 4S 5S,15.3125
AS 5C 5D,15.5167
AS 5C 5H,15.5167
AS 5C 5S,15.5167
AS 5C 6C,15.3125
AS 5D 5H,15.5167
AS 5D 5S,15.5167
AS 5D 6D,15.3125
AS 5H 5S,15.5167
AS 5H 6H,15.3125
AS 5S 6S,15.3125
AS 6C 6D,15.5167
AS 6C 6H,15.5167
AS 6C 6S,15.5167
AS 6C 7C,15.3125
AS 6D 6H,15.5167
AS 6D 6S,15.5167
AS 6D 7D,15.3125
AS 6H 6S,15.5167
AS 6H 7H,15.3125
AS 6S 7S,15.3125
AS 7C 7D,15.5167
AS 7C 7H,15.5167
AS 7C 7S,15.5167
AS 7C 8C,15.3125
AS 7D 7H,15.5167
AS 7D 7S,15.5167
AS 7D 8D,15.3125
AS 7H 7S,15.5167
AS 7H 8H,15.3125
AS 7S 8S,15.3125
AS 8C 8D,15.5167
AS 8C 8H,15.5167
AS 8C 8S,15.5167
AS 8C 9C,15.3125
AS 8D 8H,15.5167
AS 8D 8S,15.5167
AS 8D 9D,15.3125
AS 8H 8S,15.5167
AS 8H 9H,15.3125
AS 8S 9S,15.3125
AS 9C 9D,15.5167
AS 9C 9H,15.5167
AS 9C 9S,15.5167
AS 9C TC,15.3125
AS 9D 9H,15.5167
AS 9D 9S,15.5167
AS 9D TD,15.3125
AS 9H 9S,15.5167
AS 9H TH,15.3125
AS 9S TS,15.3125
AS TC TD,15.5167
AS TC TH,15.5167
AS TC TS,15.5167
AS TC JC,15.3125
AS TD TH,15.5167
AS TD TS,15.5167
AS TD JD,15.3125
AS TH TS,15.5167
AS TH JH,15.3125
AS TS JS,15.3125
AS JC JD,15.5167
AS JC JH,15.5167
AS JC JS,15.5167
AS JC QC,15.3125
AS JD JH,15.5167
AS JD JS,15.5167
AS JD QD,15.3125
AS JH JS,15.5167
AS JH QH,15.3125
AS JS QS,15.3125
2C 2D 4C,14.8750
2C 2D 4D,14.8750
2C 2H 4C,14.8750
2C 2H 4H,14.8750
2C 2S 4C,14.8750
2C 2S 4S,14.8750
2C 3C 4D,15.3125
2C 3C 4H,15.3125
2C 3C 4S,15.3125
2C 3C 5C,15.0341
2C 3C 5D,15.1991
2C 3C 5H,15.1991
2C 3C 5S,15.1991
2C 3C 6C,15.3125
2C 3C 6D,15.3125
2C 3C 6H,15.3125
2C 3C 6S,15.3125
2C 3C 7C,15.3125
2C 3C 7D,15.3125
2C 3C 7H,15.3125
2C 3C 7S,15.3125
2C 3C 8C,15.3125
2C 3C 8D,15.3125
2C 3C 8H,15.3125
2C 3C 8S,15.3125
2C 3C 9C,15.3125
2C 3C 9D,15.3125
2C 3C 9H,15.3125
2C 3C 9S,15.3125
2C 3C TC,15.3125
2C 3C TD,15.3125
2C 3C TH,15.3125
2C 3C TS,15.3125
2C 3C JC,15.3125
2C 3C JD,15.3125
2C 3C JH,15.3125
2C 3C JS,15.3125
2C 3C QC,15.3125
2C 3C QD,15.3125
2C 3C QH,15.3125
2C 3C QS,15.3125
2C 3C KC,15.3125
2C 3C KD,15.3125
2C 3C KH,15.3125
2C 3C KS,15.3125
2C 3D 3H,15.5167
2C 3D 3S,15.5167
2C 3D 4D,15.3125
2C 3H 3S,15.5167
2C 3H 4H,15.3125
2C 3S 4S,15.3125
2C 4C 5C,15.3125
2C 4D 4H,15.5167
2C 4D 4S,15.5167
2C 4D 5D,15.3125
2C 4H 4S,15.5167
2C 4H 5H,15.3125
2C 4S 5S,15.3125
2C 5C 5D,15.5167
2C 5C 5H,15.5167
2C 5C 5S,15.5167
2C 5C 6C,15.3125
2C 5D 5H,15.5167
2C 5D 5S,15.5167
2C 5D 6D,15.3125
2C 5H 5S,15.5167
2C 5H 6H,15.3125
2C 5S 6S,15.3125
2C 6C 6D,15.5167
2C 6C 6H,15.5167
2C 6C 6S,15.5167
2C 6C 7C,15.3125
2C 6D 6H,15.5167
2C 6D 6S,15.5167
2C 6D 7D,15.3125
2C 6H 6S,15.5167
2C 6H 7H,15.3125
2C 6S 7S,15.3125
2C 7C 7D,15.5167
2C 7C 7H,15.5167
2C 7C 7S,15.5167
2C 7C 8C,15.3125
2C 7D 7H,15.5167
2C 7D 7S,15.5167
2C 7D 8D,15.3125
2C 7H 7S,15.5167
2C 7H 8H,15.3125
2C 7S 8S,15.3125
2C 8C 8D,15.5167
2C 8C 8H,15.5167
2C 8C 8S,15.5167
2C 8C 9C,15.3125
2C 8D 8H,15.5167
2C 8D 8S,15.5167
2C 8D 9D,15.3125
2C 8H 8S,15.5167
2C 8H 9H,15.3125
2C 8S 9S,15.3125
2C 9C 9D,15.5167
2C 9C 9H,15.5167
2C 9C 9S,15.5167
2C 9C TC,15.3125
2C 9D 9H,15.5167
2C 9D 9S,15.5167
2C 9D TD,15.3125
2C 9H 9S,15.5167
2C 9H TH,15.3125
2C 9S TS,15.3125
2C TC TD,15.5167
2C TC TH,15.5167
2C TC TS,15.5167
2C TC JC,15.3125
2C TD TH,15.5167
2C TD TS,15.5167
2C TD JD,15.3125
2C TH TS,15.5167
2C TH JH,15.3125
2C TS JS,15.3125
2C JC JD,15.5167
2C JC JH,15.5167
2C JC JS,15.5167
2C JC QC,15.3125
2C JD JH,15.5167
